iter	Passed	Remaining
1000	88184	17531
1001	88260	17440
1002	88335	17349
1003	88408	17259
1004	88484	17168
1005	88562	17078
1006	88637	16988
1007	88712	16897
1008	88787	16807
1009	88863	16716
1010	88938	16626
1011	89014	16536
1012	89089	16445
1013	89162	16355
1014	89238	16265
1015	89312	16174
1016	89386	16084
1017	89462	15994
1018	89535	15903
1019	89608	15813
1020	89684	15723
1021	89759	15633
1022	89832	15542
1023	89908	15452
1024	89985	15363
1025	90060	15273
1026	90134	15183
1027	90205	15092
1028	90279	15002
1029	90352	14912
1030	90426	14822
1031	90501	14732
1032	90574	14642
1033	90649	14553
1034	90724	14463
1035	90798	14373
1036	90874	14283
1037	90950	14194
1038	91025	14104
1039	91098	14015
1040	91172	13925
1041	91248	13836
1042	91321	13746
1043	91395	13656
1044	91469	13567
1045	91544	13477
1046	91617	13388
1047	91692	13298
1048	91766	13209
1049	91840	13120
1050	91916	13030
1051	91991	12941
1052	92065	12852
1053	92140	12763
1054	92213	12673
1055	92288	12584
1056	92365	12495
1057	92438	12406
1058	92509	12317
1059	92583	12228
1060	92657	12138
1061	92728	12049
1062	92802	11960
1063	92874	11871
1064	92947	11782
1065	93024	11693
1066	93103	11605
1067	93177	11516
1068	93254	11427
1069	93327	11338
1070	93398	11249
1071	93470	11160
1072	93543	11071
1073	93615	10982
1074	93688	10894
1075	93759	10805
1076	93833	10716
1077	93915	10628
1078	93992	10540
1079	94076	10452
1080	94154	10364
1081	94229	10276
1082	94309	10188
1083	94386	10100
1084	94460	10011
1085	94538	9923
1086	94617	9835
1087	94695	9748
1088	94772	9660
1089	94851	9572
1090	94932	9484
1091	95008	9396
1092	95088	9308
1093	95165	9220
1094	95242	9132
1095	95320	9045
1096	95397	8957
1097	95476	8869
1098	95552	8781
1099	95624	8693
1100	95696	8604
1101	95770	8516
1102	95844	8428
1103	95924	8341
1104	96001	8253
1105	96080	8166
1106	96158	8078
1107	96240	7991
1108	96315	7903
1109	96387	7815
1110	96461	7727
1111	96535	7639
1112	96613	7552
1113	96689	7464
1114	96765	7376
1115	96846	7289
1116	96926	7202
1117	97002	7114
1118	97075	7026
1119	97150	6939
1120	97223	6851
1121	97301	6764
1122	97378	6676
1123	97456	6589
1124	97537	6502
1125	97619	6415
1126	97694	6328
1127	97771	6240
1128	97850	6153
1129	97933	6066
1130	98022	5980
1131	98102	5893
1132	98212	5807
1133	98288	5720
1134	98364	5633
1135	98439	5545
1136	98516	5458
1137	98590	5371
1138	98662	5283
1139	98737	5196
1140	98810	5109
1141	98883	5022
1142	98959	4935
1143	99034	4847
1144	99106	4760
1145	99183	4673
1146	99262	4586
1147	99336	4499
1148	99412	4412
1149	99485	4325
1150	99559	4238
1151	99633	4151
1152	99713	4064
1153	99788	3977
1154	99863	3890
1155	99934	3803
1156	100007	3716
1157	100083	3629
1158	100155	3543
1159	100232	3456
1160	100306	3369
1161	100378	3282
1162	100452	3195
1163	100528	3109
1164	100601	3022
1165	100673	2935
1166	100750	2848
1167	100824	2762
1168	100897	2675
1169	100973	2589
1170	101045	2502
1171	101120	2415
1172	101197	2329
1173	101273	2242
1174	101349	2156
1175	101422	2069
1176	101496	1983
1177	101569	1896
1178	101644	1810
1179	101716	1724
1180	101789	1637
1181	101862	1551
1182	101936	1464
1183	102009	1378
1184	102083	1292
1185	102156	1205
1186	102228	1119
1187	102306	1033
1188	102379	947
1189	102454	860
1190	102532	774
1191	102603	688
1192	102677	602
1193	102753	516
1194	102830	430
1195	102906	344
1196	102986	258
1197	103061	172
1198	103136	86
1199	103210	0
